LPSP_X,LPSP_Y,LPSP_Z,LPSP_Yaw,LPSP_VX,LPSP_VY,LPSP_VZ,LPSP_AX,LPSP_AY,LPSP_AZ
-4.660202980041504,5.026747703552246,1.144915223121643,2.4998064041137695,0.16222381591796875,-0.2830367088317871,-1.0,0.118523970246315,-0.4291383624076843,-6.158586502075195
-4.66021728515625,5.026739120483398,1.127566933631897,2.4998064041137695,0.15935468673706055,-0.28904151916503906,-1.0,0.11129885911941528,-0.44007787108421326,-6.1707682609558105
-4.66023063659668,5.026730537414551,1.1128827333450317,2.4998064041137695,0.15611886978149414,-0.2949824333190918,-1.0,0.10243036597967148,-0.4542402923107147,-6.181517124176025
-4.660244464874268,5.026721954345703,1.0953764915466309,2.4998064041137695,0.15196895599365234,-0.3017401695251465,-1.0,0.09275947511196136,-0.4606885015964508,-6.185754299163818
-4.660264492034912,5.026708602905273,1.0802448987960815,2.4998064041137695,0.1462559700012207,-0.3106212615966797,-1.0,0.07747837901115417,-0.4723535180091858,-6.208796501159668
-4.660277843475342,5.026700019836426,1.069507360458374,2.4998064041137695,0.1417522430419922,-0.31707763671875,-1.0,0.06835620850324631,-0.47543129324913025,-6.226001262664795
-4.6602911949157715,5.02669095993042,1.0569243431091309,2.4998064041137695,0.13672399520874023,-0.3231945037841797,-1.0,0.057852648198604584,-0.47578924894332886,-6.235930442810059
-4.660311698913574,5.02667760848999,1.0341898202896118,2.4998064041137695,0.12765979766845703,-0.331939697265625,-1.0,0.04438280314207077,-0.4677030146121979,-6.247045516967773
-4.660325050354004,5.026669025421143,1.0195947885513306,2.4998064041137695,0.12163639068603516,-0.3367290496826172,-1.0,0.033660728484392166,-0.4618712365627289,-6.260036945343018
-4.660345077514648,5.026656150817871,0.9984239935874939,2.4998064041137695,0.11272573471069336,-0.3421792984008789,-1.0,0.017390258610248566,-0.45096004009246826,-6.261692047119141
-4.660358428955078,5.026647567749023,0.9790343046188354,2.4998064041137695,0.10615301132202148,-0.3455538749694824,-1.0,0.007363901473581791,-0.4442030191421509,-6.267434120178223
-4.660372257232666,5.026638984680176,0.9619619250297546,2.4998064041137695,0.09949445724487305,-0.3485689163208008,-1.0,-0.000542881025467068,-0.43627163767814636,-6.270482540130615
-4.660392761230469,5.026626110076904,0.9319640398025513,2.4998064041137695,0.08851242065429688,-0.3523721694946289,-1.0,-0.013469725847244263,-0.42841631174087524,-6.288714408874512
-4.66040563583374,5.026618003845215,0.9190994501113892,2.4998064041137695,0.0814213752746582,-0.35367298126220703,-1.0,-0.0203115064650774,-0.4215238094329834,-6.289127349853516
-4.660425662994385,5.026605129241943,0.900667667388916,2.4998064041137695,0.07136058807373047,-0.35475778579711914,-1.0,-0.026876721531152725,-0.4159538745880127,-6.310019493103027
-4.660438537597656,5.026596546173096,0.8881973624229431,2.4998064041137695,0.0640726089477539,-0.3548851013183594,-1.0,-0.028124624863266945,-0.41093695163726807,-6.32857084274292
-4.6604509353637695,5.026587963104248,0.8764169812202454,2.4998064041137695,0.05691862106323242,-0.3546943664550781,-1.0,-0.028992967680096626,-0.40440818667411804,-6.339003086090088
-4.660470962524414,5.026575088500977,0.8587131500244141,2.4998064041137695,0.04729318618774414,-0.35378551483154297,-1.0,-0.027188407257199287,-0.39700689911842346,-6.351070880889893
-4.660483360290527,5.026566505432129,0.8450318574905396,2.4998064041137695,0.040972232818603516,-0.352628231048584,-1.0,-0.02497090771794319,-0.38687267899513245,-6.347761631011963
-4.660496234893799,5.026557922363281,0.830064058303833,2.4998064041137695,0.034963130950927734,-0.3509225845336914,-1.0,-0.024041110649704933,-0.3797716498374939,-6.3459038734436035
-4.660515785217285,5.02654504776001,0.8067460060119629,2.4998064041137695,0.025913715362548828,-0.3473505973815918,-1.0,-0.0251605287194252,-0.37127792835235596,-6.341969013214111
-4.660528182983398,5.026536464691162,0.7926290035247803,2.4998064041137695,0.02042865753173828,-0.3443770408630371,-1.0,-0.028806593269109726,-0.3681756854057312,-6.3404059410095215
-4.660541534423828,5.0265278816223145,0.7789179086685181,2.4998064041137695,0.015061378479003906,-0.34108543395996094,-1.0,-0.03056350164115429,-0.35555794835090637,-6.340202331542969
-4.6605544090271,5.026519298553467,0.7648570537567139,2.4998064041137695,0.009818553924560547,-0.33749961853027344,-1.0,-0.03675364702939987,-0.3532743752002716,-6.330599784851074
-4.660566806793213,5.026510715484619,0.7503052353858948,2.4998064041137695,0.004723072052001953,-0.33348655700683594,-1.0,-0.04295341297984123,-0.3568055033683777,-6.33717679977417
-4.660585880279541,5.026497840881348,0.72975754737854,2.4998064041137695,-0.002132415771484375,-0.3278794288635254,-1.0,-0.04357333108782768,-0.35322287678718567,-6.341208457946777
-4.6605987548828125,5.026489734649658,0.7105834484100342,2.4998064041137695,-0.007585048675537109,-0.3231821060180664,-1.0,-0.04470596835017204,-0.3558853566646576,-6.340941905975342
-4.660617828369141,5.026477813720703,0.6927177309989929,2.4998064041137695,-0.01351308822631836,-0.31777095794677734,-1.0,-0.04351673275232315,-0.35957571864128113,-6.3458251953125
-4.660630702972412,5.026469707489014,0.6746019124984741,2.4998064041137695,-0.017040729522705078,-0.3138279914855957,-1.0,-0.04108412191271782,-0.3605822026729584,-6.351879596710205
-4.660650253295898,5.0264573097229,0.6425434350967407,2.4998064041137695,-0.022224903106689453,-0.3074607849121094,-1.0,-0.03565400466322899,-0.35578233003616333,-6.346800327301025
-4.660662651062012,5.026449680328369,0.6293932795524597,2.4998064041137695,-0.024613380432128906,-0.30403852462768555,-1.0,-0.03321600705385208,-0.35107365250587463,-6.332784652709961
-4.660675525665283,5.02644157409668,0.6100271344184875,2.4998064041137695,-0.027318954467773438,-0.29970836639404297,-1.0,-0.026270680129528046,-0.34208565950393677,-6.320093631744385
-4.660695552825928,5.026430130004883,0.5812947750091553,2.4998064041137695,-0.03053903579711914,-0.29268455505371094,-1.0,-0.011511793360114098,-0.3370300829410553,-6.317384243011475
-4.660707950592041,5.026422023773193,0.5630596876144409,2.4998064041137695,-0.031995296478271484,-0.2883429527282715,-1.0,-0.0011347475228831172,-0.3380202651023865,-6.317814350128174
-4.660720348358154,5.026414394378662,0.5442522168159485,2.4998064041137695,-0.03261756896972656,-0.28354930877685547,-1.0,0.011868372559547424,-0.3344716727733612,-6.316983699798584
-4.660738945007324,5.026402950286865,0.5167725086212158,2.4998064041137695,-0.032598018646240234,-0.276853084564209,-1.0,0.029461946338415146,-0.3353453576564789,-6.30867862701416
