ATSP_RollSP,ATSP_PitchSP,ATSP_YawSP,ATSP_ThrustSP,ATSP_qw,ATSP_qx,ATSP_qy,ATSP_qz,ATSP_fwy,ATSP_dmcy,ATSP_af,ATSP_tm,ATSP_eon,ATSP_di
-0.017329510301351547,-0.08767712861299515,2.4752113819122314,0.0,0.32709217071533203,0.038581643253564835,-0.022512957453727722,0.9439360499382019,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.475210666656494,0.0,0.3270925283432007,0.03858163580298424,-0.022512972354888916,0.9439359903335571,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.475236415863037,0.0,0.3270803987979889,0.038581930100917816,-0.02251247689127922,0.9439401626586914,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.4752583503723145,0.0,0.32707005739212036,0.038582175970077515,-0.022512054070830345,0.9439437389373779,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.4752891063690186,0.0,0.3270554840564728,0.038582514971494675,-0.02251145802438259,0.9439488053321838,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.4753050804138184,0.0,0.32704803347587585,0.0385827012360096,-0.022511152550578117,0.943951427936554,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.4753270149230957,0.0,0.32703760266304016,0.038582947105169296,-0.022510727867484093,0.9439550042152405,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.47536039352417,0.0,0.32702183723449707,0.03858331963419914,-0.02251008339226246,0.9439604878425598,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.4754061698913574,0.0,0.327000230550766,0.03858383372426033,-0.022509200498461723,0.9439679384231567,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.475458860397339,0.0,0.32697540521621704,0.038584429770708084,-0.022508185356855392,0.9439765810966492,0,0,0,0,0,1
-0.017329510301351547,-0.08623979985713959,2.4754414558410645,0.0,0.32698795199394226,0.03790564462542534,-0.022274041548371315,0.9440052509307861,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.4754748344421387,0.0,0.32696789503097534,0.03858460858464241,-0.02250787988305092,0.9439791440963745,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.4754934310913086,0.0,0.3269590735435486,0.038584817200899124,-0.022507518529891968,0.9439821839332581,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.475478410720825,0.0,0.32696613669395447,0.03858464956283569,-0.0225078072398901,0.9439797401428223,0,0,0,0,0,1
-0.015885384753346443,-0.08767712861299515,2.475498676300049,0.0,0.32692864537239075,0.03882094845175743,-0.021825795993208885,0.9439990520477295,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.475508451461792,0.0,0.3269519507884979,0.03858498856425285,-0.02250722609460354,0.9439846873283386,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.475536346435547,0.0,0.32693880796432495,0.038585301488637924,-0.02250668965280056,0.9439892172813416,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.4755449295043945,0.0,0.3269347548484802,0.038585394620895386,-0.02250652201473713,0.9439906477928162,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.475541114807129,0.0,0.3269365727901459,0.0385853536427021,-0.0225065965205431,0.9439899921417236,0,0,0,0,0,1
-0.015885384753346443,-0.08767712861299515,2.4755208492279053,0.0,0.32691821455955505,0.03882119432091713,-0.021825365722179413,0.9440026879310608,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.475512742996216,0.0,0.32694995403289795,0.03858503699302673,-0.02250714600086212,0.9439854025840759,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.475512742996216,0.0,0.32694995403289795,0.03858503699302673,-0.02250714600086212,0.9439854025840759,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.475525379180908,0.0,0.3269440233707428,0.038585178554058075,-0.022506901994347572,0.9439873695373535,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.475533962249756,0.0,0.32693997025489807,0.038585275411605835,-0.02250673808157444,0.9439888000488281,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.4755806922912598,0.0,0.3269179165363312,0.03858580440282822,-0.022505834698677063,0.9439964294433594,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.475611686706543,0.0,0.32690325379371643,0.038586150854825974,-0.02250523492693901,0.9440015554428101,0,0,0,0,0,1
