ARSP_RollRateSP,ARSP_PitchRateSP,ARSP_YawRateSP
-0.343561053276062,-0.31614235043525696,0.004251040052622557
-0.34354138374328613,-0.316051185131073,0.0042138476856052876
-0.34362927079200745,-0.3161030113697052,0.004190011415630579
-0.34368669986724854,-0.3160582184791565,0.004215079825371504
-0.3436967134475708,-0.3160508871078491,0.004199724178761244
-0.34367650747299194,-0.3160918653011322,0.004143767524510622
-0.34373629093170166,-0.31604087352752686,0.004248361568897963
-0.34382760524749756,-0.31605276465415955,0.004303063731640577
-0.3438287675380707,-0.31607234477996826,0.0017969300970435143
-0.3438911736011505,-0.31605789065361023,0.0017498203087598085
-0.3440314531326294,-0.3160009980201721,0.0017344795633107424
-0.3441617488861084,-0.3159603476524353,0.0017660895828157663
-0.34418994188308716,-0.31596389412879944,0.00178889324888587
-0.3443717360496521,-0.3159760534763336,0.001748515642248094
-0.34439754486083984,-0.31598418951034546,0.0017814231105148792
-0.34447965025901794,-0.315971702337265,0.0017834996106103063
-0.34460827708244324,-0.3159538209438324,0.0017873228061944246
-0.3446632921695709,-0.3158954679965973,0.0017789104022085667
-0.344699501991272,-0.3160916566848755,0.0017485830467194319
-0.34480634331703186,-0.31607913970947266,0.0018019804265350103
-0.3448231816291809,-0.316092848777771,0.0017574256053194404
-0.3448742628097534,-0.3160441517829895,0.001805334584787488
-0.3449617326259613,-0.31604427099227905,0.0017888217698782682
-0.3450063467025757,-0.3160765767097473,0.0017746095545589924
-0.34513068199157715,-0.3160317540168762,0.0017843428067862988
-0.3450106680393219,-0.3161884546279907,0.001784458989277482
-0.3450543284416199,-0.31620848178863525,0.0017989585176110268
-0.3448679447174072,-0.3162223994731903,0.00180059764534235
-0.34490537643432617,-0.31631210446357727,0.001748422160744667
-0.3447597026824951,-0.31626564264297485,0.001782167935743928
-0.34460631012916565,-0.3163372874259949,0.0017898097867146134
-0.3444712162017822,-0.31633782386779785,0.00174017995595932
-0.34436681866645813,-0.3163491487503052,0.0017089785542339087
-0.34427177906036377,-0.31632286310195923,0.0017553295474499464
-0.3442353904247284,-0.31624919176101685,0.001782342093065381
-0.34404346346855164,-0.3161604702472687,0.0016865719808265567
-0.3439132571220398,-0.3161795437335968,0.0017522817943245173
-0.3439435660839081,-0.31618446111679077,0.0017836231272667646
-0.3439261317253113,-0.3160949945449829,0.0017349538393318653
-0.34381261467933655,-0.3160843253135681,0.001727219671010971
-0.3438463509082794,-0.3160862326622009,0.001777993980795145
-0.34381014108657837,-0.3160731792449951,0.0018507225904613733
-0.34378761053085327,-0.31606701016426086,0.00179583509452641
-0.3437325954437256,-0.3161173462867737,0.0017748980317264795
-0.3437238931655884,-0.30746030807495117,0.0017249679658561945
-0.3436940908432007,-0.30741697549819946,0.0016836861614137888
-0.3437574505805969,-0.30743467807769775,0.0017150177154690027
-0.34386342763900757,-0.3074207305908203,0.001673445338383317
-0.3438682556152344,-0.31605762243270874,0.001769678434357047
-0.34392228722572327,-0.3159904181957245,0.0017812340520322323
-0.34397032856941223,-0.3159424960613251,0.0017615718534216285
-0.34402960538864136,-0.31597962975502014,0.0017746849916875362
-0.3441305160522461,-0.31598204374313354,0.0017826305702328682
-0.3442700505256653,-0.31599077582359314,0.0017906355205923319
-0.34424397349357605,-0.316036581993103,0.0017832722514867783
-0.34433746337890625,-0.3160695433616638,0.0018135921563953161
